nombre,descripcion,precio,stock,imagenUrl,categoria,atributos
MacBook Pro 16 M3 Pro,Laptop profesional Apple para flujos de trabajo exigentes,54999.00,8,https://img.techshop.com/macbook-pro-16.jpg,Laptops,"{""ram"":""36GB"",""procesador"":""Apple M3 Pro"",""almacenamiento"":""1TB SSD"",""pantalla"":""16.2 pulgadas""}"
HP Pavilion 15,Laptop accesible con buen equilibrio precio-rendimiento,11499.00,35,https://img.techshop.com/hp-pavilion.jpg,Laptops,"{""ram"":""8GB"",""procesador"":""Intel i5-1335U"",""almacenamiento"":""256GB SSD"",""pantalla"":""15.6 pulgadas""}"
ASUS ZenBook 14,Laptop ultradelgada con pantalla OLED vibrante,22999.00,16,https://img.techshop.com/zenbook-14.jpg,Laptops,"{""ram"":""16GB"",""procesador"":""Intel i7-1360P"",""almacenamiento"":""512GB SSD"",""pantalla"":""14 pulgadas OLED""}"
iPhone 15 Pro Max,Smartphone Apple con chip A17 Pro y camara de 48MP,27999.00,25,https://img.techshop.com/iphone-15-pro-max.jpg,Smartphones,"{""pantalla"":""6.7 pulgadas"",""procesador"":""A17 Pro"",""camara"":""48MP"",""almacenamiento"":""256GB""}"
iPhone 15,Smartphone Apple con Dynamic Island y USB-C,19999.00,30,https://img.techshop.com/iphone-15.jpg,Smartphones,"{""pantalla"":""6.1 pulgadas"",""procesador"":""A16 Bionic"",""camara"":""48MP"",""almacenamiento"":""128GB""}"
Samsung Galaxy S24 Ultra,Smartphone Samsung con S Pen y IA integrada,25999.00,20,https://img.techshop.com/galaxy-s24-ultra.jpg,Smartphones,"{""pantalla"":""6.8 pulgadas"",""procesador"":""Snapdragon 8 Gen 3"",""camara"":""200MP"",""almacenamiento"":""256GB""}"
Samsung Galaxy S24,Smartphone Samsung compacto con pantalla Dynamic AMOLED,17999.00,22,https://img.techshop.com/galaxy-s24.jpg,Smartphones,"{""pantalla"":""6.2 pulgadas"",""procesador"":""Exynos 2400"",""camara"":""50MP"",""almacenamiento"":""128GB""}"
Google Pixel 8 Pro,Smartphone Google con IA avanzada y camara computacional,18999.00,15,https://img.techshop.com/pixel-8-pro.jpg,Smartphones,"{""pantalla"":""6.7 pulgadas"",""procesador"":""Tensor G3"",""camara"":""50MP"",""almacenamiento"":""128GB""}"
Google Pixel 8,Smartphone Google con mejor relacion calidad-precio,14999.00,18,https://img.techshop.com/pixel-8.jpg,Smartphones,"{""pantalla"":""6.2 pulgadas"",""procesador"":""Tensor G3"",""camara"":""50MP"",""almacenamiento"":""128GB""}"
Xiaomi 14,Smartphone Xiaomi con lentes Leica y carga rapida,13999.00,28,https://img.techshop.com/xiaomi-14.jpg,Smartphones,"{""pantalla"":""6.36 pulgadas"",""procesador"":""Snapdragon 8 Gen 3"",""camara"":""50MP"",""almacenamiento"":""256GB""}"
OnePlus 12,Smartphone OnePlus con carga de 100W y pantalla 2K,16999.00,20,https://img.techshop.com/oneplus-12.jpg,Smartphones,"{""pantalla"":""6.82 pulgadas"",""procesador"":""Snapdragon 8 Gen 3"",""camara"":""50MP"",""almacenamiento"":""256GB""}"
Motorola Edge 40 Pro,Smartphone Motorola con pantalla curva 165Hz,12999.00,22,https://img.techshop.com/moto-edge-40.jpg,Smartphones,"{""pantalla"":""6.67 pulgadas"",""procesador"":""Snapdragon 8 Gen 2"",""camara"":""50MP"",""almacenamiento"":""256GB""}"
Samsung Galaxy Z Fold5,Smartphone plegable Samsung con pantalla de 7.6 pulgadas,39999.00,10,https://img.techshop.com/galaxy-fold5.jpg,Smartphones,"{""pantalla"":""7.6 pulgadas"",""procesador"":""Snapdragon 8 Gen 2"",""camara"":""50MP"",""almacenamiento"":""256GB""}"
Samsung Galaxy A54,Smartphone Samsung gama media con excelente bateria,7999.00,40,https://img.techshop.com/galaxy-a54.jpg,Smartphones,"{""pantalla"":""6.4 pulgadas"",""procesador"":""Exynos 1380"",""camara"":""50MP"",""almacenamiento"":""128GB""}"
Xiaomi Redmi Note 13 Pro,Smartphone economico con camara de 200MP,5999.00,50,https://img.techshop.com/redmi-note-13.jpg,Smartphones,"{""pantalla"":""6.67 pulgadas"",""procesador"":""Snapdragon 7s Gen 2"",""camara"":""200MP"",""almacenamiento"":""128GB""}"
Nothing Phone 2,Smartphone con diseno unico de luces LED Glyph,11999.00,15,https://img.techshop.com/nothing-phone-2.jpg,Smartphones,"{""pantalla"":""6.7 pulgadas"",""procesador"":""Snapdragon 8+ Gen 1"",""camara"":""50MP"",""almacenamiento"":""128GB""}"
Sony WH-1000XM5,Audifonos over-ear con la mejor cancelacion de ruido,7499.00,30,https://img.techshop.com/sony-xm5.jpg,Audifonos,"{""tipo"":""Over-ear"",""conectividad"":""Bluetooth 5.3"",""cancelacionRuido"":""Si"",""bateria"":""30 horas""}"
Apple AirPods Pro 2,Audifonos in-ear Apple con chip H2 y audio espacial,4999.00,40,https://img.techshop.com/airpods-pro-2.jpg,Audifonos,"{""tipo"":""In-ear"",""conectividad"":""Bluetooth 5.3"",""cancelacionRuido"":""Si"",""bateria"":""6 horas""}"
Apple AirPods Max,Audifonos over-ear premium Apple con audio Hi-Fi,12999.00,12,https://img.techshop.com/airpods-max.jpg,Audifonos,"{""tipo"":""Over-ear"",""conectividad"":""Bluetooth 5.0"",""cancelacionRuido"":""Si"",""bateria"":""20 horas""}"
Bose QuietComfort Ultra,Audifonos over-ear Bose con audio inmersivo,6999.00,20,https://img.techshop.com/bose-qc-ultra.jpg,Audifonos,"{""tipo"":""Over-ear"",""conectividad"":""Bluetooth 5.3"",""cancelacionRuido"":""Si"",""bateria"":""24 horas""}"
Samsung Galaxy Buds2 Pro,Audifonos in-ear Samsung con audio Hi-Fi 360,3499.00,35,https://img.techshop.com/galaxy-buds2-pro.jpg,Audifonos,"{""tipo"":""In-ear"",""conectividad"":""Bluetooth 5.3"",""cancelacionRuido"":""Si"",""bateria"":""5 horas""}"
JBL Tune 770NC,Audifonos over-ear JBL con cancelacion adaptativa,2499.00,45,https://img.techshop.com/jbl-tune-770.jpg,Audifonos,"{""tipo"":""Over-ear"",""conectividad"":""Bluetooth 5.3"",""cancelacionRuido"":""Si"",""bateria"":""44 horas""}"
Sennheiser Momentum 4,Audifonos over-ear premium con sonido audiofilo,6499.00,15,https://img.techshop.com/sennheiser-momentum4.jpg,Audifonos,"{""tipo"":""Over-ear"",""conectividad"":""Bluetooth 5.2"",""cancelacionRuido"":""Si"",""bateria"":""60 horas""}"
Beats Studio Pro,Audifonos over-ear Beats con audio espacial personalizado,5999.00,18,https://img.techshop.com/beats-studio-pro.jpg,Audifonos,"{""tipo"":""Over-ear"",""conectividad"":""Bluetooth 5.3"",""cancelacionRuido"":""Si"",""bateria"":""40 horas""}"
Sony WF-1000XM5,Audifonos in-ear Sony ultracompactos con ANC lider,5499.00,25,https://img.techshop.com/sony-wf-xm5.jpg,Audifonos,"{""tipo"":""In-ear"",""conectividad"":""Bluetooth 5.3"",""cancelacionRuido"":""Si"",""bateria"":""8 horas""}"
Jabra Elite 85t,Audifonos in-ear con ANC ajustable y HearThrough,3299.00,20,https://img.techshop.com/jabra-elite-85t.jpg,Audifonos,"{""tipo"":""In-ear"",""conectividad"":""Bluetooth 5.1"",""cancelacionRuido"":""Si"",""bateria"":""5.5 horas""}"
Audio-Technica ATH-M50xBT2,Audifonos over-ear de estudio con Bluetooth,4299.00,16,https://img.techshop.com/ath-m50xbt2.jpg,Audifonos,"{""tipo"":""Over-ear"",""conectividad"":""Bluetooth 5.0"",""cancelacionRuido"":""No"",""bateria"":""50 horas""}"
Nothing Ear 2,Audifonos in-ear con diseno transparente y LHDC 5.0,2299.00,30,https://img.techshop.com/nothing-ear-2.jpg,Audifonos,"{""tipo"":""In-ear"",""conectividad"":""Bluetooth 5.3"",""cancelacionRuido"":""Si"",""bateria"":""6.3 horas""}"
Cargador Apple MagSafe 15W,Cargador inalambrico magnetico para iPhone,899.00,60,https://img.techshop.com/magsafe-charger.jpg,Accesorios,"{""tipo"":""Cargador inalambrico"",""potencia"":""15W"",""compatibilidad"":""iPhone 12 y posterior""}"
Funda OtterBox Defender iPhone 15,Funda ultrarresistente con proteccion militar,1299.00,50,https://img.techshop.com/otterbox-defender.jpg,Accesorios,"{""tipo"":""Funda"",""material"":""Policarbonato"",""compatibilidad"":""iPhone 15""}"
Cable USB-C Anker 100W 2m,Cable trenzado de carga rapida y transferencia,399.00,100,https://img.techshop.com/anker-usbc.jpg,Accesorios,"{""tipo"":""Cable"",""longitud"":""2 metros"",""potencia"":""100W"",""material"":""Nylon trenzado""}"
Soporte Laptop Rain Design mStand,Soporte de aluminio ergonomico para laptop,1899.00,25,https://img.techshop.com/mstand.jpg,Accesorios,"{""tipo"":""Soporte"",""material"":""Aluminio"",""compatibilidad"":""Laptops hasta 17 pulgadas""}"
Mouse Logitech MX Master 3S,Mouse ergonomico inalambrico para productividad,2199.00,35,https://img.techshop.com/mx-master-3s.jpg,Accesorios,"{""tipo"":""Mouse"",""conectividad"":""Bluetooth + USB"",""bateria"":""70 dias"",""dpi"":""8000""}"
Teclado Apple Magic Keyboard,Teclado inalambrico Apple con Touch ID,3499.00,20,https://img.techshop.com/magic-keyboard.jpg,Accesorios,"{""tipo"":""Teclado"",""conectividad"":""Bluetooth"",""bateria"":""1 mes"",""layout"":""Espanol""}"
Hub USB-C Anker 7 en 1,Hub multipuerto con HDMI 4K y lector SD,1499.00,40,https://img.techshop.com/anker-hub.jpg,Accesorios,"{""tipo"":""Hub USB-C"",""puertos"":""7"",""hdmi"":""4K 60Hz"",""compatibilidad"":""Universal""}"
Cargador GaN Anker 65W,Cargador compacto GaN con 3 puertos USB-C,1199.00,55,https://img.techshop.com/anker-gan-65w.jpg,Accesorios,"{""tipo"":""Cargador"",""potencia"":""65W"",""puertos"":""3 USB-C"",""tecnologia"":""GaN""}"
Power Bank Samsung 20000mAh,Bateria portatil de alta capacidad con carga rapida,1599.00,45,https://img.techshop.com/samsung-powerbank.jpg,Accesorios,"{""tipo"":""Power Bank"",""capacidad"":""20000mAh"",""potencia"":""25W"",""puertos"":""USB-C + USB-A""}"
Protector Pantalla Belkin iPhone 15,Cristal templado con instalacion facil,499.00,80,https://img.techshop.com/belkin-screen.jpg,Accesorios,"{""tipo"":""Protector de pantalla"",""material"":""Cristal templado"",""compatibilidad"":""iPhone 15""}"
Webcam Logitech C920s,Webcam Full HD 1080p con tapa de privacidad,1799.00,30,https://img.techshop.com/logitech-c920s.jpg,Accesorios,"{""tipo"":""Webcam"",""resolucion"":""1080p"",""fps"":""30"",""microfono"":""Estereo""}"
Mousepad Razer Gigantus V2,Mousepad XXL optimizado para precision y velocidad,899.00,40,https://img.techshop.com/razer-gigantus.jpg,Accesorios,"{""tipo"":""Mousepad"",""tamano"":""XXL"",""material"":""Tela microtejida"",""base"":""Goma antideslizante""}"
SSD Externo Samsung T7 1TB,Disco solido externo ultracompacto USB 3.2,2499.00,30,https://img.techshop.com/samsung-t7.jpg,Accesorios,"{""tipo"":""SSD Externo"",""capacidad"":""1TB"",""velocidad"":""1050 MB/s"",""interfaz"":""USB 3.2 Gen 2""}"
Memoria USB SanDisk Ultra 128GB,Memoria flash USB-C de alta velocidad,349.00,90,https://img.techshop.com/sandisk-ultra.jpg,Accesorios,"{""tipo"":""Memoria USB"",""capacidad"":""128GB"",""velocidad"":""400 MB/s"",""interfaz"":""USB-C""}"
